Date,Price
Mar 2022,2.994
Feb 2022,2.411
Jan 2022,2.218
Dec 2021,2.107
Nov 2021,2.323
Oct 2021,2.354
Sep 2021,2.202
Aug 2021,2.194
Jul 2021,2.262
Jun 2021,2.182
May 2021,2.086
Apr 2021,1.938
Mar 2021,1.846
Feb 2021,1.692
Jan 2021,1.452
Dec 2020,1.252
Nov 2020,1.159
Oct 2020,1.22
Sep 2020,1.263
Aug 2020,1.328
Jul 2020,1.335
Jun 2020,1.283
May 2020,0.987
Apr 2020,0.416
Mar 2020,0.977
Feb 2020,1.558
Jan 2020,1.624
Dec 2019,1.66
Nov 2019,1.649
Oct 2019,1.695
Sep 2019,1.785
Aug 2019,1.819
Jul 2019,1.991
Jun 2019,1.884
May 2019,2.009
Apr 2019,2.012
Mar 2019,1.79
Feb 2019,1.537
Jan 2019,1.288
Dec 2018,1.342
Nov 2018,1.633
Oct 2018,1.969
Sep 2018,2.093
Aug 2018,2.096
Jul 2018,2.13
Jun 2018,2.108
May 2018,2.136
Apr 2018,1.944
Mar 2018,1.76
Feb 2018,1.669
Jan 2018,1.782
Dec 2017,1.708
Nov 2017,1.801
Oct 2017,1.718
Sep 2017,1.688
Aug 2017,1.669
Jul 2017,1.601
Jun 2017,1.556
May 2017,1.615
Apr 2017,1.686
Mar 2017,1.541
Feb 2017,1.488
Jan 2017,1.535
Dec 2016,1.568
Nov 2016,1.372
Oct 2016,1.481
Sep 2016,1.521
Aug 2016,1.598
Jul 2016,1.544
Jun 2016,1.773
May 2016,1.632
Apr 2016,1.431
Mar 2016,1.28
Feb 2016,0.935
Jan 2016,1.018
Dec 2015,1.193
Nov 2015,1.329
Oct 2015,1.648
Sep 2015,1.64
Aug 2015,1.844
Jul 2015,2.003
Jun 2015,2.137
May 2015,1.951
Apr 2015,1.721
Mar 2015,1.635
Feb 2015,1.541
Jan 2015,1.217
Dec 2014,1.582
Nov 2014,2.131
Oct 2014,2.34
Sep 2014,2.671
Aug 2014,2.728
Jul 2014,2.813
Jun 2014,3.088
May 2014,2.97
Apr 2014,2.953
Mar 2014,2.882
Feb 2014,2.673
Jan 2014,2.521
Dec 2013,2.457
Nov 2013,2.471
Oct 2013,2.616
Sep 2013,2.789
Aug 2013,2.841
Jul 2013,2.92
Jun 2013,2.995
May 2013,3.085
Apr 2013,2.871
Mar 2013,2.955
Feb 2013,3
Jan 2013,2.587
Dec 2012,2.541
Nov 2012,2.746
Oct 2012,2.839
Sep 2012,3.214
Aug 2012,3.216
Jul 2012,2.857
Jun 2012,2.853
May 2012,2.972
Apr 2012,3.085
Mar 2012,3.202
Feb 2012,2.749
Jan 2012,2.662
Dec 2011,2.567
Nov 2011,2.614
Oct 2011,2.694
Sep 2011,2.897
Aug 2011,2.997
Jul 2011,3.097
Jun 2011,3.037
May 2011,3.275
Apr 2011,3.22
Mar 2011,2.853
Feb 2011,2.53
Jan 2011,2.443
Dec 2010,2.351
Nov 2010,2.24
Oct 2010,2.178
Sep 2010,2.1
Aug 2010,2.091
Jul 2010,2.121
Jun 2010,2.123
May 2010,2.124
Apr 2010,2.227
Mar 2010,2.125
Feb 2010,1.93
Jan 2010,2.039
Dec 2009,1.948
Nov 2009,1.975
Oct 2009,1.98
Sep 2009,1.859
Aug 2009,1.992
Jul 2009,1.862
Jun 2009,2.11
May 2009,1.817
Apr 2009,1.451
Mar 2009,1.374
Feb 2009,1.29
Jan 2009,1.308
Dec 2008,1.03
Nov 2008,1.286
Oct 2008,2.147
Sep 2008,3.058
Aug 2008,3.119
Jul 2008,3.304
Jun 2008,3.37
May 2008,3.202
Apr 2008,2.837
Mar 2008,2.581
Feb 2008,2.367
Jan 2008,2.357
Dec 2007,2.323
Nov 2007,2.472
Oct 2007,2.261
Sep 2007,2.338
Aug 2007,2.278
Jul 2007,2.376
Jun 2007,2.438
May 2007,2.643
Apr 2007,2.195
Mar 2007,1.895
Feb 2007,1.692
Jan 2007,1.43
Dec 2006,1.631
Nov 2006,1.635
Oct 2006,1.57
Sep 2006,1.687
Aug 2006,2.25
Jul 2006,2.374
Jun 2006,2.222
May 2006,2.188
Apr 2006,2.161
Mar 2006,1.869
Feb 2006,1.647
Jan 2006,1.705
Dec 2005,1.587
Nov 2005,1.552
Oct 2005,1.934
Sep 2005,2.121
Aug 2005,1.973
Jul 2005,1.683
Jun 2005,1.595
May 2005,1.499
Apr 2005,1.599
Mar 2005,1.522
Feb 2005,1.352
Jan 2005,1.278
Dec 2004,1.147
Nov 2004,1.336
Oct 2004,1.438
Sep 2004,1.308
Aug 2004,1.316
Jul 2004,1.34
Jun 2004,1.324
May 2004,1.45
Apr 2004,1.231
Mar 2004,1.148
Feb 2004,1.1
Jan 2004,1.028
Dec 2003,0.903
Nov 2003,0.923
Oct 2003,0.99
Sep 2003,1.052
Aug 2003,1.114
Jul 2003,0.973
Jun 2003,0.977
May 2003,0.939
Apr 2003,0.969
Mar 2003,1.107
Feb 2003,1.107
Jan 2003,0.934
Dec 2002,0.84
Nov 2002,0.854
Oct 2002,0.978
Sep 2002,0.89
Aug 2002,0.875
Jul 2002,0.921
Jun 2002,0.896
May 2002,0.875
Apr 2002,0.85
Mar 2002,0.784
Feb 2002,0.609
Jan 2002,0.595
Dec 2001,0.576
Nov 2001,0.612
Oct 2001,0.69
